Customer_ID,Age,Annual_Income_k$,Spending_Score,Work_Experience,Profession
1,56,76,1,2,Teacher
2,69,65,16,12,Business
3,46,73,61,27,Business
4,32,132,64,19,Teacher
5,60,110,63,27,Engineer
6,25,127,69,7,Doctor
7,38,76,22,38,Business
8,56,66,93,0,Business
9,36,26,67,2,Doctor
10,40,53,76,12,Student
11,28,144,26,27,Engineer
12,28,145,16,24,Other
13,41,127,51,32,Artist
14,53,115,86,37,Student
15,57,127,57,5,Business
16,41,95,29,31,Engineer
17,20,127,78,20,Other
18,39,16,92,15,Teacher
19,19,144,69,20,Business
20,41,68,47,10,Artist
21,61,101,94,36,Other
22,47,143,62,35,Business
23,55,140,69,34,Doctor
24,19,144,76,18,Teacher
25,38,67,16,19,Artist
26,50,82,90,17,Engineer
27,29,137,90,13,Other
28,39,52,48,14,Business
29,61,38,85,30,Artist
30,42,83,39,0,Engineer
31,66,130,33,2,Business
32,44,112,94,15,Doctor
33,59,111,23,22,Business
34,45,138,10,10,Engineer
35,33,84,69,11,Other
36,32,107,34,9,Other
37,64,17,52,31,Teacher
38,68,104,95,15,Student
39,61,110,10,7,Student
40,69,66,19,37,Artist
41,20,142,58,11,Student
42,54,53,96,23,Other
43,68,96,1,27,Business
44,24,118,69,7,Engineer
45,38,143,4,27,Other
46,26,25,16,35,Artist
47,56,56,24,25,Doctor
48,35,113,80,7,Business
49,21,21,2,27,Business
50,42,104,92,27,Artist
51,31,126,32,36,Student
52,67,74,91,35,Artist
53,26,127,84,26,Business
54,43,16,24,16,Student
55,19,143,12,8,Student
56,37,62,50,32,Teacher
57,45,51,35,19,Teacher
58,64,23,33,12,Business
59,24,113,33,27,Teacher
60,61,62,61,28,Teacher
61,25,145,51,12,Artist
62,64,68,43,34,Other
63,52,134,12,5,Student
64,31,130,67,17,Student
65,34,89,65,4,Other
66,53,127,33,24,Engineer
67,67,118,40,1,Artist
68,57,98,74,9,Teacher
69,21,126,43,29,Other
70,19,113,44,4,Teacher
71,23,107,29,32,Student
72,59,142,13,0,Other
73,21,124,12,17,Engineer
74,46,96,95,31,Doctor
75,35,68,46,10,Other
76,43,82,2,20,Artist
77,61,47,35,25,Engineer
78,51,35,87,24,Teacher
79,27,62,81,21,Doctor
80,53,142,90,26,Teacher
81,31,149,8,12,Business
82,48,142,93,32,Teacher
83,65,47,26,33,Artist
84,32,129,74,34,Student
85,25,133,90,0,Teacher
86,31,36,34,20,Business
87,40,52,7,5,Doctor
88,57,123,68,27,Business
89,38,65,58,16,Other
90,33,22,75,4,Student
91,62,41,29,30,Doctor
92,35,41,36,4,Teacher
93,64,35,89,37,Teacher
94,41,44,21,2,Student
95,43,111,36,22,Artist
96,42,42,10,36,Other
97,62,125,73,36,Engineer
98,58,75,24,9,Student
99,46,62,64,9,Teacher
100,32,18,99,18,Teacher
101,62,49,49,16,Business
102,18,63,99,20,Business
103,42,31,36,13,Artist
104,24,60,82,8,Other
105,26,131,96,0,Student
106,41,20,24,12,Engineer
107,18,113,23,3,Engineer
108,61,138,62,0,Other
109,25,51,96,39,Teacher
110,41,38,37,31,Other
111,28,107,12,33,Business
112,68,60,55,27,Artist
113,34,109,13,30,Doctor
114,25,113,23,7,Engineer
115,52,130,89,38,Student
116,52,81,99,25,Teacher
117,50,142,30,33,Engineer
118,22,32,17,2,Student
119,59,39,62,11,Other
120,56,68,84,0,Teacher
121,58,72,89,4,Other
122,45,81,86,29,Doctor
123,24,118,13,29,Business
124,26,38,59,16,Doctor
125,25,128,19,22,Doctor
126,29,46,49,14,Business
127,51,100,12,36,Artist
128,50,141,61,20,Business
129,65,144,19,13,Artist
130,40,31,76,1,Artist
131,41,118,9,10,Business
132,54,57,71,38,Business
133,52,53,28,37,Student
134,61,40,78,33,Other
